Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1.4.1.13	      		1	25 x 25 x 1.60 x 1.60 T Bar	6060												Default<As Machined>		0.0									
1.4.1.14	      		1	25x25x1.60 EA	6060												Default<As Machined>		0.0									
1.4.2	    HURRICANE HINGE		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	HURRICANE HINGE	MOVING											
1.5	  MATTRESS IKEA FULL SIZE		1	MALFORS MODEL $229											\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	MATTRESS IKEA FULL SIZE	Default											
1.6	  N70 battery		1	N70 battery											\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	N70 battery	Default											
1.7	  LED		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	LED	Default											
1.8	  water tank		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	water tank	Default											
1.9	  gas bottle		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	gas bottle	Default											
1.10	  DOOR		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	DOOR	DOOR ONLY											
1.11	  AXELS		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	AXELS	ONLY WHEEL											
1.12	  junction box		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	junction box	Default											
1.13	  spot ligth		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	spot ligth	Default											
1.14	  fridge		1												\\192.168.5.11\cad\SOLIDWORKS LIBRARIES\CARAVAN\	fridge	new											
